id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
181482,2000,0,2000,2000,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,-1,"Radio Programas del Peru web site, Lima, in Spanish 25 Apr 00 ""Foreign minister says US resolution on elections only an ""appeal",,,,,5,Cholon district,Huánuco department,Marañón Province,-8.73975,-76.59974,POINT (-76.599740 -8.739750),116847,Peru,135,PER,Americas,1,1,2000-04-23,2000-04-23,1,1,0,0,2,2,2
181227,2002,0,2002,2002,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,1,"""Reuters News,2002-09-05,UPDATE 1-Peru snares Shining Path chief behind car bombing.""",Reuters News,2002-09-05,UPDATE 1-Peru snares Shining Path chief behind car bombing.,,1,Lima city,Lima department,Lima Province,-12.043333,-77.028333,POINT (-77.028333 -12.043333),111806,Peru,135,PER,Americas,1,1,2002-03-20,2002-03-20,3,0,0,7,10,10,10
176035,2002,0,2002,2002,3,607,Sendero Luminoso - Civilians,1074,Sendero Luminoso - Civilians,750,,Sendero Luminoso,1,,Civilians,2,"""MENA,2002-04-29,MENA 29-april"";""EFE News Service,2002-04-29,Three dead, five wounded in highway attack in Peruvian highlands.""",MENA;EFE News Service,2002-04-29;2002-04-29,"MENA 29-april;Three dead, five wounded in highway attack in Peruvian highlands.",police,2,Carhuauran area near Huanta,Ayacucho department,Huanta Province,-12.72773,-74.12502,POINT (-74.125020 -12.727730),111092,Peru,135,PER,Americas,1,1,2002-04-28,2002-04-28,0,0,0,0,0,0,3
176033,2002,0,2002,2002,3,649,Government of Peru - Civilians,1116,Government of Peru - Civilians,21,135.0,Government of Peru,1,,Civilians,1,"""Reuters News,2002-07-14,Four arrested in Peru for bullfighter's murder.""",Reuters News,2002-07-14,Four arrested in Peru for bullfighter's murder.,Peruvian police ,1,Lima city,Lima department,Lima Province,-12.043333,-77.028333,POINT (-77.028333 -12.043333),111806,Peru,135,PER,Americas,1,1,2002-07-02,2002-07-02,0,0,1,0,1,1,1
176037,2002,0,2002,2002,3,607,Sendero Luminoso - Civilians,1074,Sendero Luminoso - Civilians,750,,Sendero Luminoso,1,,Civilians,1,"""EFE News Service,2002-07-05,Peruvian police investigate alleged murder of peasants.""",EFE News Service,2002-07-05,Peruvian police investigate alleged murder of peasants.,police,2,Tingo María town,Huánuco department,Leoncio Prado Province,-9.29616,-75.99831,POINT (-75.998310 -9.296160),116129,Peru,135,PER,Americas,1,1,2002-07-05,2002-07-05,0,0,0,0,0,0,5
181228,2002,0,2002,2002,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,2,"""EFE,2002-11-06,EFE"";""EFE News Service,2002-11-06,Peruvian police kill rebel, destroy camps.""",EFE;EFE News Service,2002-11-06;2002-11-06,"EFE;Peruvian police kill rebel, destroy camps.", authorities,2,Satipo town,Junín department,Satipo Province,-11.25222,-74.63861,POINT (-74.638610 -11.252220),113251,Peru,135,PER,Americas,1,2,2002-10-29,2002-11-02,0,1,0,0,1,1,1
181229,2002,0,2002,2002,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,2,"""Reuters,2002-11-16,Reuters"";""Reuters News,2002-11-16,Peru police captain killed in clash with rebels.""",Reuters;Reuters News,2002-11-16;2002-11-16,Reuters;Peru police captain killed in clash with rebels.,,1,Yanamonte village,Ayacucho department,Huanta Province,-12.616667,-74.05,POINT (-74.050000 -12.616667),111092,Peru,135,PER,Americas,1,1,2002-11-15,2002-11-15,1,0,0,0,1,1,1
181220,2003,0,2003,2003,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,3,"""Reuters,2003-06-25,Reuters"";""Agence France Presse,2003-06-25,Peruvian soldier killed by suspected Shining Path guerrillas."";""France Media Agency,2003-06-25,A soldier killed by suspected Shining Path members.""",Reuters;Agence France Presse;France Media Agency,2003-06-25;2003-06-25;2003-06-25,Reuters;Peruvian soldier killed by suspected Shining Path guerrillas.;A soldier killed by suspected Shining Path members.,A military source,1,Ayacucho town,Ayacucho region,Huamanga Province,-13.15878,-74.22321,POINT (-74.223210 -13.158780),110372,Peru,135,PER,Americas,1,1,2003-06-25,2003-06-25,1,0,0,0,1,1,1
181221,2003,0,2003,2003,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,1,"""Reuters,2003-07-11,Reuters""",Reuters,2003-07-11,Reuters,A military source,1,Matucana village,Ayacucho region,Huanta Province,-12.605356,-73.852149,POINT (-73.852149 -12.605356),111093,Peru,135,PER,Americas,1,1,2003-07-11,2003-07-11,5,0,2,0,7,7,7
181222,2003,0,2003,2003,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,1,"""AP,2003-07-17,AP""",AP,2003-07-17,AP,The army,5,"Valley of the Apurimac, Ene and Mantaro Rivers",,,-12.262778,-73.978889,POINT (-73.978889 -12.262778),111813,Peru,135,PER,Americas,1,1,2003-07-17,2003-07-17,0,1,0,0,1,1,1
