featureId,sessionId,identifyId,accountId,date
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-2-1688623782037-34317449,a2250706-8d84-407d-b674-afe100a0c274,6ebdc58e-199a-4d1c-8eb0-affe00a8cc3e,2023-07-06 10:10:38.188000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1688570031882-96587248,7e468e2c-a733-4d0e-8178-ab0c00fee08c,2e53a0cc-a14c-4bbf-9a45-abdf008a6e1b,2023-07-05 15:24:05.463000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1690178420699-84573695,54df0ec1-1197-483c-bf83-af2600b4db18,8a209ef4-4c41-4509-941e-af2300b87ea7,2023-07-24 08:49:57.002000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1690190509525-89997431,57e663c9-b8ea-4fb0-9f72-ac38007bb44a,6494caea-53f9-4e88-b4da-ac3700e3758d,2023-07-24 09:34:50.335000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1688215702114-29622888,0697d4f8-1efe-4c88-aa5a-abd100fd7012,47135d92-50bf-4abc-85d3-b01c007a90be,2023-07-01 12:49:44.605000
b0ae6471-2cd0-474e-a040-48559456201d,AP-2JVPK4ITZYDH-2-1688378291097-74128646,2bb760d3-7d23-4ce6-828c-af9b01010d76,a4d8daba-bbf0-4b82-9c9a-af9b008e57a4,2023-07-03 10:34:51.447000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1688377107191-38128552,fb9d840a-dd8b-45ac-998b-6498af337312,fb718693-9658-4e8f-9684-affd00755449,2023-07-03 09:40:02.425000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1688378291097-74128646,2bb760d3-7d23-4ce6-828c-af9b01010d76,a4d8daba-bbf0-4b82-9c9a-af9b008e57a4,2023-07-03 10:30:46.648000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1688338083115-63835791,055b2d39-1f50-4bb8-b727-afff003f6344,61222677-1120-466b-bdfd-af650103f67b,2023-07-02 22:50:50.149000
b0ae6471-2cd0-474e-a040-48559456201d,AP-2JVPK4ITZYDH-2-1688378291097-74128646,2bb760d3-7d23-4ce6-828c-af9b01010d76,a4d8daba-bbf0-4b82-9c9a-af9b008e57a4,2023-07-03 10:29:24.527000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-2-1688379240023-95957521,0f0b7a2e-9341-40ab-931c-aba3010c4222,ac406f38-de0e-45d9-b6ad-aba301066797,2023-07-03 10:23:40.384000
b0ae6471-2cd0-474e-a040-48559456201d,AP-2JVPK4ITZYDH-2-1688338307729-85487577,dc58b6c1-db3b-400b-8c7c-b02a013c1b0e,c6ee84d7-f94a-49c4-8d0a-b02a00cdf84b,2023-07-02 23:12:12.244000
b0ae6471-2cd0-474e-a040-48559456201d,AP-2JVPK4ITZYDH-2-3-1688382399305-25671435,8200c085-a85c-4eba-95f9-f20e0fa10fe2,7bb22d6e-06fb-40fd-b959-ae5100d2b2a1,2023-07-03 11:12:47.860000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-2-1688345837880-92716518,bda8c3ae-1a54-4313-9bda-af0f0097f23c,122f8850-dbe4-4b97-b45c-af3200b7857c,2023-07-03 01:36:49.558000
b0ae6471-2cd0-474e-a040-48559456201d,AP-2JVPK4ITZYDH-2-2-1689444696694-52226255,03c1d7c0-2d58-48ab-a490-afce00a29672,8660c11c-7193-48e7-a604-afce00a19b5c,2023-07-15 18:38:55.848000
b0ae6471-2cd0-474e-a040-48559456201d,AP-2JVPK4ITZYDH-2-3-1688382508582-76125448,8200c085-a85c-4eba-95f9-f20e0fa10fe2,7bb22d6e-06fb-40fd-b959-ae5100d2b2a1,2023-07-03 11:13:25.848000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1688378291097-74128646,2bb760d3-7d23-4ce6-828c-af9b01010d76,a4d8daba-bbf0-4b82-9c9a-af9b008e57a4,2023-07-03 10:36:41.433000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-2-1688491890215-37956899,6450294b-e696-402e-b73a-acb800f63afc,6cb11da0-4d24-41b3-8aef-acca00d1d45a,2023-07-04 17:38:08.588000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1688554740335-86641355,cc0e6753-3e70-4abf-a980-aad8005d326d,094ef6f3-64e5-4eac-be8c-aaa300bc485f,2023-07-05 12:24:16.627000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-2-1688491890215-37956899,6450294b-e696-402e-b73a-acb800f63afc,6cb11da0-4d24-41b3-8aef-acca00d1d45a,2023-07-04 17:37:50.019000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-2-1688498087046-82316874,82a713ea-1456-4d95-b7f9-afe900bbaae2,ec0be015-3e1e-4b91-b0f0-affe00a564e8,2023-07-04 19:19:49.039000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1689894341661-37796975,055b2d39-1f50-4bb8-b727-afff003f6344,5dc8888f-02cb-4eee-9a45-af5e00b73aa3,2023-07-20 23:07:49.559000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1689902655285-74714842,875d45ea-f086-42a4-ba27-ad2c00436687,07e54a9e-e95e-401b-9d9d-ad520056d4c7,2023-07-21 01:24:50.416000
b0ae6471-2cd0-474e-a040-48559456201d,AP-2JVPK4ITZYDH-2-1689896472671-77235292,055b2d39-1f50-4bb8-b727-afff003f6344,545cb742-3235-4a6b-929e-af9b01459448,2023-07-20 23:43:25.889000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1689932144221-57852399,7afa4da4-753e-4a81-a6d6-af6200e8f206,c1f7ad09-0ffd-4503-b19f-af4300797d11,2023-07-21 10:40:10.117000
b0ae6471-2cd0-474e-a040-48559456201d,AP-2JVPK4ITZYDH-2-1689896044186-18564676,832c1f08-abb1-4399-b892-b0280085e3f3,41deba9a-1e9f-440e-bfe8-b0280084d0aa,2023-07-20 23:35:19.819000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-2-1689928097083-35289328,c339c64f-13a1-4b37-8333-b01300f065a9,aeed0f8d-2d4b-417f-97b6-aff900c284ce,2023-07-21 08:49:45.246000
b0ae6471-2cd0-474e-a040-48559456201d,AP-2JVPK4ITZYDH-2-2-1688491890215-37956899,6450294b-e696-402e-b73a-acb800f63afc,6cb11da0-4d24-41b3-8aef-acca00d1d45a,2023-07-04 17:38:03.674000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1688556347715-16748454,01aaadca-2101-48e9-ba1b-aff70061fd64,71786327-3797-4e7e-ab50-afe100779f5a,2023-07-05 12:36:11.433000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1688512309961-55485523,055b2d39-1f50-4bb8-b727-afff003f6344,c9bf02e9-84a0-46ea-bb01-af8000d46a31,2023-07-04 23:13:50.992000
b0ae6471-2cd0-474e-a040-48559456201d,AP-2JVPK4ITZYDH-2-2-1688498087046-82316874,82a713ea-1456-4d95-b7f9-afe900bbaae2,ec0be015-3e1e-4b91-b0f0-affe00a564e8,2023-07-04 19:21:41.384000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1688556347715-16748454,01aaadca-2101-48e9-ba1b-aff70061fd64,71786327-3797-4e7e-ab50-afe100779f5a,2023-07-05 11:55:04.039000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1688556347715-16748454,01aaadca-2101-48e9-ba1b-aff70061fd64,71786327-3797-4e7e-ab50-afe100779f5a,2023-07-05 12:15:17.846000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1688544319722-66773867,e6cf5fd2-53e0-4692-8f1c-ae7700be2b7b,,2023-07-05 08:31:11.582000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1688455296383-57525944,58ecf64e-83c0-4465-8ccf-b02700e91f83,40c7c677-c348-450b-bc65-b02700792311,2023-07-04 07:36:50.044000
